LocationID,SessionID,GroupID,RecordID,start_time,end_time,traffic_noise,other_noise,human_sounds,natural_sounds,PAQ1,PAQ2,PAQ3,PAQ4,PAQ5,PAQ6,PAQ7,PAQ8,overall_sound_environment,appropriate,perceived_loud,visit_often,like_to_visit,age,gender,free_response,tourist_local,LAeq,LA10,LA90,LCeq,N5,sharpness,roughness,tonality,ISOPleasant,ISOEventful
CamdenTown,CamdenTown1,CT101,525,2019-05-02 11:40:44,2019-05-02 11:43:24,4,3,3,2,2,3,4,4,2,3,2,1,2,3,4,1,2,23,Male,,,69.93,72.43,64.67,77.85,30.8,2.09,0.0363,0.304,-0.219669914110089,0.426776695296637
CamdenTown,CamdenTown1,CT101,526,2019-05-02 11:41:57,2019-05-02 11:44:21,3,1,2,1,4,3,3,3,4,2,2,2,3,4,2,1,3,22,Male,,,69.93,72.43,64.67,77.85,30.8,2.09,0.0363,0.304,0.0000000000000000574836792573273,0.25
CamdenTown,CamdenTown1,CT101,561,2019-05-02 11:40:44,2019-05-02 11:43:24,4,3,4,2,3,2,2,4,4,4,1,1,3,2,4,1,3,24,Female,,Tourist,69.93,72.43,64.67,77.85,30.8,2.09,0.0363,0.304,-0.469669914110089,0.176776695296637
CamdenTown,CamdenTown1,CT102,560,2019-05-02 11:50:10,2019-05-02 11:53:03,3,2,4,1,4,2,2,2,3,5,5,5,2,4,3,1,2,28,Male,,Tourist,70.6,73.72,65.11,77.21,33.2,2.14,0.043,0.252,0.103553390593274,-0.75
CamdenTown,CamdenTown1,CT103,527,2019-05-02 11:49:06,2019-05-02 11:54:24,4,2,4,1,3,5,4,4,2,1,1,2,3,4,3,3,3,56,Male,,,66.36,68.36,64.39,74.23,24.6,1.98,0.0367,0.184,0.25,0.75
CamdenTown,CamdenTown1,CT104,528,2019-05-02 11:52:06,2019-05-02 12:03:49,4,3,2,1,2,5,4,4,2,2,1,2,2,3,4,2,3,18,Male,,,72.4,75.51,68.39,78.65,38.6,2.37,0.0416,0.202,0.0732233047033632,0.676776695296637
CamdenTown,CamdenTown1,CT105,529,2019-05-02 11:56:04,2019-05-02 12:09:12,4,3,4,2,4,4,4,5,3,3,2,2,4,3,3,2,3,24,Female,,,,,,,,,,,-0.0428932188134524,0.5
CamdenTown,CamdenTown1,CT105,555,2019-05-02 11:56:04,2019-05-02 12:09:12,4,2,4,1,3,3,2,1,3,2,5,5,3,2,4,3,3,27,Female,,Local,,,,,,,,,0.366116523516816,-0.530330085889911
CamdenTown,CamdenTown1,CT106,530,2019-05-02 12:07:56,2019-05-02 12:12:31,4,2,2,1,2,4,2,4,4,2,4,2,3,2,4,4,3,30,Male,,,,,,,,,,,-0.207106781186547,0.085786437626905
CamdenTown,CamdenTown1,CT107,559,2019-05-02 12:20:17,2019-05-02 12:25:17,4,3,3,2,4,4,3,4,4,1,3,2,4,4,3,4,4,64,Male,,Local,68.11,71.48,62.92,76.18,29.3,2.03,0.0376,0.262,0.0732233047033632,0.366116523516816
