LocationID,SessionID,GroupID,RecordID,start_time,end_time,latitude,longitude,Language,Survey_Version,ssi01,ssi02,ssi03,ssi04,pleasant,chaotic,vibrant,uneventful,calm,annoying,eventful,monotonous,sss01,sss02,sss03,sss04,sss05,who01,who02,who03,who04,who05,WHO_Sum,age00,gen00,edu00,eth00,occ00,eth00_other,occ00_other,misc03,misc03_other,misc01,use00,uni00,RecordingLength,LZeq_L_Max,LZeq_Min_Max,LZeq_Max_Max,LZeq_L5_Max,LZeq_L10_Max,LZeq_L50_Max,LZeq_L90_Max,LZeq_L95_Max,LCeq_L(C)_Max,LCeq_Min(C)_Max,LCeq_Max(C)_Max,LCeq_L5(C)_Max,LCeq_L10(C)_Max,LCeq_L50(C)_Max,LCeq_L90(C)_Max,LCeq_L95(C)_Max,LAeq_L(A)_Max,LAeq_Min(A)_Max,LAeq_Max(A)_Max,LAeq_L5(A)_Max,LAeq_L10(A)_Max,LAeq_L50(A)_Max,LAeq_L90(A)_Max,LAeq_L95(A)_Max,N_N5_Max,N_Min_Max,N_Max_Max,N_N10_Max,N_N50_Max,N_N90_Max,N_N95_Max,S_S_Max,S_Min_Max,S_Max_Max,S_S5_Max,S_S10_Max,S_S50_Max,S_S90_Max,S_S95_Max,R_R_Max,R_Min_Max,R_Max_Max,R_R5_Max,R_R10_Max,R_R50_Max,R_R90_Max,R_R95_Max,T_TonalityHMS_Max,T_Min_Max,T_Max_Max,T_T5_Max,T_T10_Max,T_T50_Max,T_T90_Max,T_T95_Max,FS_F_Max,FS_Min_Max,FS_Max_Max,FS_F5_Max,FS_F10_Max,FS_F50_Max,FS_F90_Max,FS_F95_Max,I_I_Max,I_Min_Max,I_Max_Max,I_I5_Max,I_I10_Max,I_I50_Max,I_I90_Max,I_I95_Max,SIL4_SIL(rms)_Max,SIL4_SIL(av)_Max,SIL4_Min_Max,SIL4_Max_Max,SIL4_SIL5_Max,SIL4_SIL10_Max,SIL4_SIL50_Max,SIL4_SIL90_Max,SIL4_SIL95_Max,RA_cp_Max,RA_Min_Max,RA_Max_Max,RA_cp5_Max,RA_cp10_Max,RA_cp50_Max,RA_cp90_Max,RA_cp95_Max,THD_THD_Max,THD_Min_Max,THD_Max_Max,THD_L5_Max,THD_L10_Max,THD_L50_Max,THD_L90_Max,THD_L95_Max
CarloV,CarloV2,2CV12,1434,2019-05-16 18:46:00,2019-05-16 18:56:00,37.17685,-3.590392,eng,engISO2018,1.0,1.0,4.0,3.0,2,1,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,4.0,3.0,2.0,2.0,4.0,60.0,61.0,Female,UniversityGraduate,White,Employed,,,Tourist,,Wish the rest of the complex was quieter,Staying,Couple,30.88,65.68,58.81,72.51,69.4,68.36,64.91,61.11,60.61,65.26,56.96,72.48,69.27,68.19,64.32,60.1,59.33,62.12,51.04,69.31,66.21,65.1,61.22,56.07,54.97,16.5,0.0,20.8,15.6,11.8,8.85,8.24,1.81,0.0,2.59,2.13,2.04,1.8,1.59,1.54,0.0333,0.0148,0.113,0.0574,0.0451,0.031,0.0222,0.0204,0.222,0.0,1.29,0.555,0.437,0.174,0.058,0.0395,0.0549,0.0254,0.107,0.0955,0.0899,0.0566,0.0361,0.0311,0.449,0.233,0.888,0.632,0.571,0.434,0.342,0.318,53.62,52.06,42.71,59.23,56.83,56.03,52.33,47.82,46.85,17.9,1.9,56.7,35.0,30.1,16.3,8.15,6.72,-0.09,-11.76,54.18,34.82,26.53,5.57,-9.0,-10.29
CarloV,CarloV2,2CV12,1435,2019-05-16 18:46:00,2019-05-16 18:56:00,37.17685,-3.590392,eng,engISO2018,1.0,1.0,4.0,3.0,2,4,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,72.0,61.0,Female,UniversityGraduate,White,Employed,,,Tourist,,Gardens were wonderful,Staying,Couple,30.88,65.68,58.81,72.51,69.4,68.36,64.91,61.11,60.61,65.26,56.96,72.48,69.27,68.19,64.32,60.1,59.33,62.12,51.04,69.31,66.21,65.1,61.22,56.07,54.97,16.5,0.0,20.8,15.6,11.8,8.85,8.24,1.81,0.0,2.59,2.13,2.04,1.8,1.59,1.54,0.0333,0.0148,0.113,0.0574,0.0451,0.031,0.0222,0.0204,0.222,0.0,1.29,0.555,0.437,0.174,0.058,0.0395,0.0549,0.0254,0.107,0.0955,0.0899,0.0566,0.0361,0.0311,0.449,0.233,0.888,0.632,0.571,0.434,0.342,0.318,53.62,52.06,42.71,59.23,56.83,56.03,52.33,47.82,46.85,17.9,1.9,56.7,35.0,30.1,16.3,8.15,6.72,-0.09,-11.76,54.18,34.82,26.53,5.57,-9.0,-10.29
CarloV,CarloV2,2CV13,1430,2019-05-16 19:02:00,2019-05-16 19:12:00,37.17685,-3.590392,eng,engISO2018,1.0,1.0,4.0,4.0,5,1,3.0,3.0,4.0,2.0,3.0,1.0,4.0,4.0,4.0,1.0,4.0,5.0,5.0,5.0,5.0,4.0,96.0,24.0,Male,UniversityGraduate,White,Student,,,Tourist,,,PassingThrough,Group,30.79,75.52,60.0,86.11,81.5,79.76,72.13,63.96,62.65,67.46,56.73,80.32,73.01,71.31,64.47,60.51,59.66,58.59,49.53,71.55,62.35,61.17,57.4,54.23,53.08,13.8,0.0,19.4,12.9,10.6,8.66,8.15,1.81,0.0,2.49,2.15,2.06,1.79,1.59,1.55,0.0268,0.013,0.0912,0.0426,0.0373,0.0254,0.0184,0.0169,0.251,0.0,1.98,0.646,0.512,0.179,0.0481,0.0314,0.0344,0.00909,0.0822,0.0682,0.0612,0.0332,0.0137,0.0107,0.373,0.155,1.4,0.708,0.549,0.331,0.255,0.231,51.03,49.79,42.83,61.16,53.75,52.56,49.9,46.6,45.99,12.7,0.974,89.2,29.5,23.5,10.4,5.0,3.91,-2.1,-19.32,72.52,32.33,24.52,0.25,-16.3,-17.33
CarloV,CarloV2,2CV13,1431,2019-05-16 19:02:00,2019-05-16 19:12:00,37.17685,-3.590392,eng,engISO2018,1.0,1.0,4.0,4.0,5,1,3.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,4.0,0.0,2.0,56.0,21.0,Female,UniversityGraduate,White,Student,,,Tourist,,,PassingThrough,Group,30.79,75.52,60.0,86.11,81.5,79.76,72.13,63.96,62.65,67.46,56.73,80.32,73.01,71.31,64.47,60.51,59.66,58.59,49.53,71.55,62.35,61.17,57.4,54.23,53.08,13.8,0.0,19.4,12.9,10.6,8.66,8.15,1.81,0.0,2.49,2.15,2.06,1.79,1.59,1.55,0.0268,0.013,0.0912,0.0426,0.0373,0.0254,0.0184,0.0169,0.251,0.0,1.98,0.646,0.512,0.179,0.0481,0.0314,0.0344,0.00909,0.0822,0.0682,0.0612,0.0332,0.0137,0.0107,0.373,0.155,1.4,0.708,0.549,0.331,0.255,0.231,51.03,49.79,42.83,61.16,53.75,52.56,49.9,46.6,45.99,12.7,0.974,89.2,29.5,23.5,10.4,5.0,3.91,-2.1,-19.32,72.52,32.33,24.52,0.25,-16.3,-17.33
CarloV,CarloV2,2CV13,1432,2019-05-16 19:02:00,2019-05-16 19:12:00,37.17685,-3.590392,eng,engISO2018,1.0,1.0,3.0,3.0,5,2,3.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,84.0,20.0,Female,UniversityGraduate,White,Student,,,Other,Erasmus Student,,PassingThrough,Group,30.79,75.52,60.0,86.11,81.5,79.76,72.13,63.96,62.65,67.46,56.73,80.32,73.01,71.31,64.47,60.51,59.66,58.59,49.53,71.55,62.35,61.17,57.4,54.23,53.08,13.8,0.0,19.4,12.9,10.6,8.66,8.15,1.81,0.0,2.49,2.15,2.06,1.79,1.59,1.55,0.0268,0.013,0.0912,0.0426,0.0373,0.0254,0.0184,0.0169,0.251,0.0,1.98,0.646,0.512,0.179,0.0481,0.0314,0.0344,0.00909,0.0822,0.0682,0.0612,0.0332,0.0137,0.0107,0.373,0.155,1.4,0.708,0.549,0.331,0.255,0.231,51.03,49.79,42.83,61.16,53.75,52.56,49.9,46.6,45.99,12.7,0.974,89.2,29.5,23.5,10.4,5.0,3.91,-2.1,-19.32,72.52,32.33,24.52,0.25,-16.3,-17.33
CarloV,CarloV2,2CV14,1443,2019-05-16 19:13:00,2019-05-16 19:23:00,37.17685,-3.590392,eng,engISO2018,1.0,1.0,5.0,3.0,4,4,4.0,1.0,2.0,2.0,4.0,1.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,4.0,3.0,4.0,76.0,,Male,PostgraduateDegree,White,Employed,,,Tourist,,,Staying,Couple,30.77,60.94,56.08,70.06,65.14,63.75,59.86,57.96,57.45,57.36,53.7,68.48,59.86,58.75,56.71,55.48,55.13,52.59,48.04,64.83,55.39,54.09,51.99,50.12,49.65,9.1,0.0,19.0,8.64,7.38,6.44,6.21,1.7,0.0,2.88,2.1,1.98,1.66,1.48,1.43,0.0249,0.0123,0.0719,0.0391,0.0343,0.0241,0.0178,0.0165,0.127,0.0,0.73,0.363,0.257,0.0663,0.0164,0.0111,0.0183,0.00874,0.0633,0.0543,0.0364,0.0169,0.0125,0.0103,0.454,0.237,1.5,0.79,0.646,0.408,0.301,0.284,45.54,44.51,40.43,56.74,47.85,46.76,44.33,42.37,41.77,8.73,0.503,84.2,19.5,15.7,7.28,3.36,2.66,-0.89,-17.02,55.82,26.73,19.56,1.15,-13.15,-14.52
CarloV,CarloV2,2CV21,1428,2019-05-16 18:39:00,2019-05-16 18:49:00,37.17685,-3.590392,eng,engISO2018,1.0,1.0,3.0,2.0,4,4,3.0,3.0,4.0,,4.0,4.0,3.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,3.0,4.0,76.0,31.0,Female,UniversityGraduate,AsianAsianBritish,Employed,,,Tourist,,,,,30.46,68.85,60.24,76.92,72.66,71.65,67.9,64.22,63.27,62.64,56.35,69.09,65.96,65.15,62.0,58.58,58.02,55.43,49.41,65.74,58.79,57.69,54.3,51.75,51.18,11.5,0.0,20.1,10.5,8.5,7.29,6.98,1.78,0.0,2.83,2.18,2.03,1.73,1.58,1.53,0.0259,0.0126,0.0709,0.0427,0.0358,0.0243,0.0185,0.0172,0.148,0.0,0.955,0.381,0.3,0.102,0.0298,0.0194,0.0218,0.00949,0.0667,0.0613,0.0382,0.0175,0.0125,0.0118,0.426,0.236,1.17,0.678,0.585,0.396,0.307,0.286,48.23,46.88,42.16,58.35,51.21,50.03,46.51,44.24,43.5,10.4,0.49,65.2,21.5,17.7,9.03,4.45,3.52,-1.91,-13.06,65.17,29.99,22.06,2.14,-9.6,-11.12
CarloV,CarloV2,2CV22,1429,2019-05-16 18:50:00,2019-05-16 19:00:00,37.17685,-3.590392,eng,engISO2018,1.0,1.0,4.0,4.0,5,2,4.0,2.0,4.0,1.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,,4.0,68.0,42.0,Male,PostgraduateDegree,White,Employed,,,Tourist,,,,,31.72,72.91,58.27,86.4,79.31,76.21,68.04,62.22,61.3,61.87,55.23,73.41,67.15,65.21,59.06,57.01,56.61,54.87,49.18,69.04,59.42,56.69,52.53,50.73,50.43,10.4,0.0,19.8,9.51,8.21,7.29,7.1,1.86,0.0,2.4,2.06,2.01,1.86,1.72,1.68,0.023,0.0116,0.0494,0.0333,0.0309,0.0223,0.0165,0.0154,0.141,0.0,1.26,0.416,0.277,0.0588,0.0105,0.00611,0.0177,0.00529,0.13,0.0804,0.042,0.0105,0.00655,0.00622,0.304,0.153,0.483,0.4,0.371,0.299,0.242,0.228,47.46,45.95,42.2,60.19,51.29,48.59,45.5,43.7,43.3,7.43,0.18,63.0,18.2,14.4,5.8,2.58,1.99,-1.78,-18.1,70.9,30.86,21.01,-1.12,-15.44,-16.46
CarloV,CarloV2,2CV32,1436,2019-05-16 18:56:00,2019-05-16 19:00:00,37.17685,-3.590392,eng,engISO2018,4.0,2.0,3.0,3.0,5,3,4.0,4.0,5.0,1.0,5.0,5.0,5.0,3.0,2.0,1.0,4.0,5.0,4.0,4.0,5.0,5.0,92.0,18.0,Male,HighSchoolGraduate,White,Student,,,Tourist,,,,,30.77,65.24,58.54,75.86,69.52,67.73,63.86,60.69,59.95,62.97,55.99,70.98,66.23,65.23,62.33,59.41,58.69,59.55,49.59,70.49,63.2,61.97,58.69,54.62,53.91,13.2,0.0,20.5,12.4,10.4,8.17,7.7,1.7,0.0,3.03,2.14,1.97,1.66,1.46,1.43,0.0298,0.0139,0.095,0.0478,0.0415,0.0281,0.0207,0.0191,0.258,0.0,1.31,0.673,0.538,0.196,0.0658,0.0464,0.0398,0.0127,0.0677,0.0609,0.0587,0.0417,0.0198,0.0164,0.422,0.211,1.06,0.645,0.591,0.397,0.289,0.267,51.62,49.76,41.3,60.93,54.26,53.14,49.85,45.95,45.18,14.3,0.912,70.5,33.1,27.4,12.2,6.06,4.93,-0.57,-16.16,58.38,32.16,24.88,3.93,-13.25,-14.21
CarloV,CarloV2,2CV32,1437,2019-05-16 18:56:00,2019-05-16 19:00:00,37.17685,-3.590392,eng,engISO2018,2.0,1.0,3.0,4.0,5,3,4.0,,5.0,2.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,2.0,4.0,3.0,5.0,3.0,68.0,18.0,Female,HighSchoolGraduate,White,Student,,,,,,,,30.77,65.24,58.54,75.86,69.52,67.73,63.86,60.69,59.95,62.97,55.99,70.98,66.23,65.23,62.33,59.41,58.69,59.55,49.59,70.49,63.2,61.97,58.69,54.62,53.91,13.2,0.0,20.5,12.4,10.4,8.17,7.7,1.7,0.0,3.03,2.14,1.97,1.66,1.46,1.43,0.0298,0.0139,0.095,0.0478,0.0415,0.0281,0.0207,0.0191,0.258,0.0,1.31,0.673,0.538,0.196,0.0658,0.0464,0.0398,0.0127,0.0677,0.0609,0.0587,0.0417,0.0198,0.0164,0.422,0.211,1.06,0.645,0.591,0.397,0.289,0.267,51.62,49.76,41.3,60.93,54.26,53.14,49.85,45.95,45.18,14.3,0.912,70.5,33.1,27.4,12.2,6.06,4.93,-0.57,-16.16,58.38,32.16,24.88,3.93,-13.25,-14.21
