LocationID,SessionID,GroupID,RecordID,Language,Lockdown,start_time,end_time,latitude,longitude,Traffic,Other,Human,Natural,ISOPleasant,ISOEventful,pleasant,chaotic,vibrant,uneventful,calm,annoying,eventful,monotonous,Overall,Appropriate,loud,sss04,sss05,who01,who02,who03,who04,who05,WHO_Sum,Age,Gender,occ00___Employed,occ00___Unemployed,occ00___Retired,occ00___Student,occ00___Other,occ00___RatherNotSay,occ00_other,Occupation,edu00,eth00,eth00_other,misc00,misc03,misc03_other,misc04,misc01,use00,uni00,res00___1,res00___2,res00___3,res00___4,res00___5,res02,paper,RecordingLength,Loudness_N5(soneGF),N10_N90(soneGF),Sharpness_S(acum),Rough_HM_R(asper),"Rough_HM_Avg,arith(asper)","FS_Avg,arith(vacil)","I_HM_Avg,arith(iu)","Ton_HM_Avg,arith(tuHMS)",LZeq_L(dB(SPL)),LAeq_L(A)(dB(SPL)),LA10_LA90(dB(SPL)),LCeq_LAeq(dB(SPL)),LC10_LC90(dB(SPL)),RA_2D_cp(cPa),PA(Zwicker)
CamdenTown,CamdenTown1,CT101,525,English,0,02/05/2019 11:40,02/05/2019 11:43,51.539124,-0.142624,4,3,3,2,-0.2197,0.4268,2,4,3,2,1,2,4,3,2,3,4,1,2,1,1,3,0,3,32,23,Male,1,0,0,0,0,0,,Employed,2,1,,,,,,,1,3,1,1,0,0,0,,0,31.57,31.1,11.6,2.14,0.0374,0.0374,0.017,0.358,0.309,79.72,70.07,7.78,7.81,8.11,14.3,36.01918067
CamdenTown,CamdenTown1,CT101,561,English,0,02/05/2019 11:40,02/05/2019 11:43,51.539124,-0.142624,4,3,4,2,-0.4697,0.1768,3,4,2,1,1,4,2,4,3,2,4,1,3,4,4,3,4,4,76,24,Female,1,0,0,0,0,0,,Employed,2,1,,,2,,,,1,3,1,1,0,0,0,,1,31.57,31.1,11.6,2.14,0.0374,0.0374,0.017,0.358,0.309,79.72,70.07,7.78,7.81,8.11,14.3,36.01918067
CamdenTown,CamdenTown1,CT101,526,English,0,02/05/2019 11:41,02/05/2019 11:44,51.539124,-0.142624,3,1,2,1,0,0.25,4,3,3,2,2,4,3,2,3,4,2,1,3,3,3,4,4,3,68,22,Male,1,0,0,0,0,0,,Employed,2,1,,,,,,,1,3,1,1,0,0,0,,0,31.57,31.1,11.6,2.14,0.0374,0.0374,0.017,0.358,0.309,79.72,70.07,7.78,7.81,8.11,14.3,36.01918067
CamdenTown,CamdenTown1,CT102,560,English,0,02/05/2019 11:50,02/05/2019 11:53,51.539124,-0.142624,3,2,4,1,0.1036,-0.75,4,2,2,5,5,3,2,5,2,4,3,1,2,4,3,3,4,5,76,28,Male,1,0,0,0,0,0,,Employed,5,1,,,2,,,,1,1,1,1,0,0,0,,1,32.47,34.4,12.3,2.18,0.0446,0.0446,0.0179,0.362,0.268,80.27,71.26,8.38,6.25,7.82,14.7,40.52326798
CamdenTown,CamdenTown1,CT103,527,English,0,02/05/2019 11:49,02/05/2019 11:54,51.539124,-0.142624,4,2,4,1,0.25,0.75,3,4,5,1,2,2,4,1,3,4,3,3,3,2,2,1,0,3,32,56,Male,1,0,0,0,0,0,,Employed,,1,,,,,,,3,1,1,1,0,0,0,,0,35.16,24.7,4.8,2,0.0369,0.0369,0.00889,0.37,0.193,76.79,66.71,4.23,7.61,3.99,13.4,27.10863473
CamdenTown,CamdenTown1,CT104,528,English,0,02/05/2019 11:52,02/05/2019 12:03,51.539124,-0.142624,4,3,2,1,0.0732,0.6768,2,4,5,1,2,2,4,2,2,3,4,2,3,4,3,2,1,4,56,18,Male,0,1,0,0,0,0,,Unemployed,1,1,,,,,,,1,1,1,1,0,0,0,There was alarm whistle passing.,0,31.96,38.6,12.1,2.37,0.0413,0.0413,0.0146,0.393,0.21,80.13,72.47,6.97,6.32,3.79,15.1,48.7088246
CamdenTown,CamdenTown1,CT105,555,English,0,02/05/2019 11:56,02/05/2019 12:09,51.539124,-0.142624,4,2,4,1,0.3661,-0.5303,3,1,3,5,5,3,2,2,3,2,4,3,3,1,2,2,2,1,32,27,Female,0,1,0,0,0,0,,Unemployed,5,1,,,1,,,,2,2,1,1,0,0,0,,1,,,,,,,,,,,,,,,,
CamdenTown,CamdenTown1,CT105,529,English,0,02/05/2019 11:56,02/05/2019 12:09,51.539124,-0.142624,4,3,4,2,-0.0429,0.5,4,5,4,2,2,3,4,3,4,3,3,2,3,4,4,4,2,4,72,24,Female,0,1,0,0,0,0,,Unemployed,5,2,,,,,,,1,2,1,1,0,0,0,,0,,,,,,,,,,,,,,,,
CamdenTown,CamdenTown1,CT106,530,English,0,02/05/2019 12:07,02/05/2019 12:12,51.539124,-0.142624,4,2,2,1,-0.2071,0.0858,2,4,4,4,2,4,2,2,3,2,4,4,3,4,3,4,4,4,76,30,Male,0,0,0,0,0,1,,RatherNotSay,1,1,,,,,,,4,1,1,0,0,0,0,,0,,,,,,,,,,,,,,,,
CamdenTown,CamdenTown1,CT107,559,English,0,02/05/2019 12:20,02/05/2019 12:25,51.539124,-0.142624,4,3,3,2,0.0732,0.3661,4,4,4,3,2,4,3,1,4,4,3,4,4,3,4,2,2,3,56,64,Male,0,0,1,0,0,0,,Retired,4,1,,,1,,,,1,1,1,1,0,0,0,,1,31.32,29.4,11.3,2.05,0.0379,0.0379,0.0247,0.426,0.293,78.52,68.32,8.55,8,5.6,14.8,32.95937593
CamdenTown,CamdenTown1,CT108,531,English,0,02/05/2019 12:10,02/05/2019 12:26,51.539124,-0.142624,3,2,2,1,-0.1464,0.1464,3,3,3,3,1,3,3,3,3,3,3,1,2,4,2,4,3,4,68,63,Female,1,0,0,0,0,0,,Employed,5,1,,,,,,,3,1,1,1,0,0,0,,0,27.26,34.3,14.9,2.25,0.041,0.041,0.0157,0.374,0.196,79.7,70.95,9.19,6.76,8.86,14.8,41.38124879
CamdenTown,CamdenTown1,CT109,557,English,0,02/05/2019 12:16,02/05/2019 12:28,51.539124,-0.142624,3,1,3,1,-0.1161,0.3232,4,5,3,3,2,3,4,3,2,3,4,3,4,4,4,3,2,3,64,19,Female,0,0,0,1,0,0,,Student,3,3,,,1,,,,4,3,1,1,0,0,0,,1,31.53,30,8.9,2.11,0.0411,0.0411,0.0274,0.407,0.297,80.1,69.75,6.64,6.99,5.42,15.2,34.36665007
CamdenTown,CamdenTown1,CT109,558,English,0,02/05/2019 12:16,02/05/2019 12:28,51.539124,-0.142624,5,3,4,2,-0.1464,0.3536,3,4,2,2,2,3,4,2,2,3,5,3,4,3,2,5,2,2,56,19,Female,0,0,0,1,0,0,,Student,3,4,,,1,,,,2,3,1,1,0,0,0,,1,31.53,30,8.9,2.11,0.0411,0.0411,0.0274,0.407,0.297,80.1,69.75,6.64,6.99,5.42,15.2,34.36665007
CamdenTown,CamdenTown1,CT109,532,English,0,02/05/2019 12:16,02/05/2019 12:28,51.539124,-0.142624,4,3,5,1,0.1036,1,3,5,5,1,1,2,5,1,4,5,5,3,5,5,4,5,0,4,72,19,Female,0,0,0,1,0,0,,Student,3,4,,,,,,,4,3,1,1,0,0,0,,0,31.53,30,8.9,2.11,0.0411,0.0411,0.0274,0.407,0.297,80.1,69.75,6.64,6.99,5.42,15.2,34.36665007
CamdenTown,CamdenTown1,CT110,556,English,0,02/05/2019 12:38,02/05/2019 12:41,51.539124,-0.142624,3,4,2,3,-0.0303,-0.0126,3,1,1,1,3,4,3,2,3,4,3,1,3,3,4,4,3,5,76,22,Male,0,0,0,1,0,0,,Student,5,1,,,2,,,,1,2,1,1,0,0,0,,1,31.66,33.8,17,2.11,0.0387,0.0387,0.0174,0.372,0.189,80.11,68.84,11.08,7.66,8.73,14.4,38.82289984
CamdenTown,CamdenTown1,CT111,533,English,0,02/05/2019 12:29,02/05/2019 12:58,51.539124,-0.142624,4,4,3,1,-0.4142,-0.4571,1,4,4,4,5,5,1,5,2,3,3,1,3,4,4,4,4,5,84,59,Female,1,0,0,0,0,0,,Employed,3,1,,,,,,,1,2,1,1,0,0,0,Alram,0,,,,,,,,,,,,,,,,
CamdenTown,CamdenTown1,CT111,552,English,0,02/05/2019 12:29,02/05/2019 12:58,51.539124,-0.142624,4,2,3,2,-0.6161,-0.2374,2,5,1,4,1,3,1,4,2,3,4,1,2,4,4,4,4,4,80,67,Male,0,0,1,0,0,0,,Retired,3,1,,,2,,,,1,2,1,1,0,0,0,,1,,,,,,,,,,,,,,,,
CamdenTown,CamdenTown1,CT112,534,English,0,02/05/2019 12:29,02/05/2019 12:55,51.539124,-0.142624,5,4,5,1,0.0732,0.9268,2,5,5,1,2,2,5,1,2,5,4,4,3,5,4,5,5,5,96,20,Female,0,0,0,1,0,0,,Student,2,1,,,,,,,1,2,1,1,0,0,0,,0,33.71,34.3,16.1,2.07,0.0375,0.0375,0.0138,0.376,0.272,79.79,69.78,12.28,8.54,6.54,14.3,38.84636554
